date,nominal_effective_exchange_rate,effective_federal_funds_rate,cpi_index,djia_adj_close,gold_price
1998-04-01,127.43409090909094,5.49,159.2,8799.80957,308.3
1998-05-01,127.84590909090912,,159.5,9063.370117,299.1
1998-07-01,130.82545454545453,5.56,160.6,8952.019531,292.9
1998-08-01,131.09347826086957,5.54,,,284.1
1998-09-01,133.30047619047622,,161.5,7539.069823999998,289.0
1998-10-01,129.14818181818185,5.51,161.5,7842.620117,295.9
1998-12-01,125.02285714285716,,161.3,9116.549805,291.7
1999-01-01,123.7817391304348,,161.3,9181.429688,287.1
1999-04-01,127.12913043478262,,162.8,9786.160156,282.6
1999-05-01,127.0009090909091,4.74,163.0,,276.4
1999-06-01,,4.74,163.0,,261.3
1999-07-01,127.66227272727274,,164.1,10970.799805,256.1
1999-09-01,125.67863636363636,5.07,,10829.280273,264.7
1999-10-01,124.16636363636366,,,10336.950195,310.7
1999-12-01,123.78545454545451,,164.9,10877.80957,283.1
2000-01-01,,,,11497.120117,284.3
2000-02-01,123.65761904761904,,166.0,,299.9
2000-03-01,126.19571428571427,5.73,,10128.30957,286.4
2000-04-01,126.48956521739132,,167.8,10921.919922,279.7
2000-06-01,130.64739130434785,6.27,168.1,10522.330078,285.7
2000-07-01,,,169.6,10447.889648,281.6
2000-08-01,128.7857142857143,,170.6,10521.980469,274.5
2000-09-01,130.5960869565218,6.5,170.9,11215.099609,273.7
2000-11-01,,6.51,,,266.0
2000-12-01,135.56272727272727,,171.6,10414.490234,271.5
2001-02-01,133.1913043478261,5.98,174.1,,261.9
2001-03-01,134.28999999999996,5.49,,,263.0
2001-05-01,139.26095238095238,4.8,175.4,10734.969727,272.4
2001-06-01,139.1330434782609,4.21,175.9,10911.94043,270.2
2001-08-01,,3.77,,10522.80957,272.4
2001-09-01,137.7404347826087,,,9949.75,283.4
2001-11-01,138.3686956521739,,,9075.139648,276.2
2001-12-01,139.88590909090914,2.09,176.9,,275.9
2002-01-01,,,176.9,10021.570313,281.5
2002-02-01,142.76434782608695,1.73,177.6,,295.5
2002-03-01,,1.74,,,294.1
2002-05-01,,,179.5,9946.219727,314.5
